                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2951,                 11.578,                 3.2254,                0.04593,                0.08333,                0.03783,                0.00733,                 3.3208,                 14.372,                 2.0151,                 0.0905,                 0.0005,                 0.0005
                      2,                 2.0039,                 3.4815,                 1.6159,                0.01758,                0.42683,                0.05755,                0.01053,                 2.6412,                 8.3866,                 1.7144,               0.079946,             0.00094605,             0.00094605
                      3,                 1.6884,                 2.8211,                 1.6009,                 0.0011,                0.16312,                0.00101,                0.00031,                 3.3616,                 162.79,                 5.0331,               0.069283,              0.0012832,              0.0012832
                      4,                 1.5456,                 2.4397,                  1.514,                0.03256,                0.38043,                0.03765,                0.01403,                 2.2855,                 65.119,                 1.7015,               0.058511,              0.0015115,              0.0015115
                      5,                 1.3992,                 2.1061,                 1.3954,                0.13421,                0.53389,                 0.1598,                0.06061,                 2.4124,                 28.113,                 2.0268,               0.047631,              0.0016308,              0.0016308
                      6,                 1.3174,                  1.908,                 1.3546,                0.24971,                0.61844,                0.28764,                0.16083,                 2.1849,                 10.289,                 1.7268,               0.036641,              0.0016413,              0.0016413
                      7,                 1.3379,                 1.9043,                 1.3099,                0.15231,                0.78103,                0.21153,                0.12301,                 2.3216,                 11.311,                 1.5862,               0.025543,              0.0015428,              0.0015428
                      8,                 1.2438,                 1.7643,                 1.2597,                0.29221,                0.69099,                0.36034,                0.22017,                 2.1657,                 5.8966,                 1.5301,               0.014335,              0.0013355,              0.0013355
                      9,                 1.1876,                  1.739,                 1.1872,                0.20512,                0.71875,                0.30549,                0.19016,                 1.8109,                 3.1635,                 1.3028,              0.0030192,              0.0010192,              0.0010192
                     10,                 1.1964,                 1.6832,                 1.2019,                0.26678,                0.85044,                 0.3825,                0.22991,                  1.643,                 1.6975,                 1.1881,               0.000545,               0.000545,               0.000545
